model,dataset,label,fairness_def,var
FAR,Fairface,race,PPP_var,0.07119479539787188
FAR,UTKFace,age,ACC_var,0.03842299301064732
FAR,UTKFace,age,TPR_var,0.10742917823588846
FAR,UTKFace,age,TNR_var,0.12005522583440634
FAR,UTKFace,age,FPR_var,0.12005522583440634
FAR,UTKFace,age,FNR_var,0.10742917823588849
FAR,UTKFace,age,NPP_var,0.009296661910566235
FAR,UTKFace,age,PP_var,0.007317891895888244
FAR,UTKFace,age,PPP_var,0.11618049762200262
FAR,UTKFace,gender,ACC_var,0.0
FAR,UTKFace,gender,TPR_var,0.16737743565918822
FAR,UTKFace,gender,TNR_var,0.16737743565918822
FAR,UTKFace,gender,FPR_var,0.16737743565918822
FAR,UTKFace,gender,FNR_var,0.16737743565918822
FAR,UTKFace,gender,NPP_var,0.00426242862970913
FAR,UTKFace,gender,PP_var,0.00426242862970913
FAR,UTKFace,gender,PPP_var,0.16814338904285991
FAR,UTKFace,race,ACC_var,0.023584289353601517
FAR,UTKFace,race,TPR_var,0.12076638090589628
FAR,UTKFace,race,TNR_var,0.10562581160118925
FAR,UTKFace,race,FPR_var,0.10562581160118927
FAR,UTKFace,race,FNR_var,0.12076638090589628
FAR,UTKFace,race,NPP_var,0.004671714271797127
FAR,UTKFace,race,PP_var,0.023879714827129663
FAR,UTKFace,race,PPP_var,0.11257283452933069
Fairface,FaceARG,age,ACC_var,0.008973782253134482
Fairface,FaceARG,age,TPR_var,0.04823929605798037
Fairface,FaceARG,age,TNR_var,0.009739074747212594
Fairface,FaceARG,age,FPR_var,0.009739074747212596
Fairface,FaceARG,age,FNR_var,0.04823929605798036
Fairface,FaceARG,age,NPP_var,0.006280745775534089
Fairface,FaceARG,age,PP_var,0.029685562925362632
Fairface,FaceARG,age,PPP_var,0.029998356850406003
Fairface,FaceARG,gender,ACC_var,0.0
Fairface,FaceARG,gender,TPR_var,0.0000039598079173142654
Fairface,FaceARG,gender,TNR_var,0.000003.9598079173142654
Fairface,FaceARG,gender,FPR_var,0.000003959807917314298
Fairface,FaceARG,gender,FNR_var,0.000003959807917314298
Fairface,FaceARG,gender,NPP_var,0.00000015189822670547909
Fairface,FaceARG,gender,PP_var,0.00000015189822670547909
Fairface,FaceARG,gender,PPP_var,0.00751813029407319
Fairface,FaceARG,race,ACC_var,0.0006899596780802835
Fairface,FaceARG,race,TPR_var,0.0027742843516461524
Fairface,FaceARG,race,TNR_var,0.0011622074679987716
Fairface,FaceARG,race,FPR_var,0.0011622074679987708
Fairface,FaceARG,race,FNR_var,0.002774284351646151
Fairface,FaceARG,race,NPP_var,0.00015716638165386173
Fairface,FaceARG,race,PP_var,0.006611075765006238
Fairface,FaceARG,race,PPP_var,0.002087180670975684
Fairface,Fairface,age,ACC_var,0.004900689976055448
Fairface,Fairface,age,TPR_var,0.02749288670126117
Fairface,Fairface,age,TNR_var,0.0029487947677527084
Fairface,Fairface,age,FPR_var,0.002948794767752708
Fairface,Fairface,age,FNR_var,0.02749288670126117
Fairface,Fairface,age,NPP_var,0.0021032010864400516
Fairface,Fairface,age,PP_var,0.013900188113363274
Fairface,Fairface,age,PPP_var,0.010831846536946382
Fairface,Fairface,gender,ACC_var,0.0
Fairface,Fairface,gender,TPR_var,0.0008410189275512886
Fairface,Fairface,gender,TNR_var,0.0008410189275512886
Fairface,Fairface,gender,FPR_var,0.0008410189275512897
Fairface,Fairface,gender,FNR_var,0.0008410189275512897
Fairface,Fairface,gender,NPP_var,0.0003379490341208556
Fairface,Fairface,gender,PP_var,0.0003379490341208556
Fairface,Fairface,gender,PPP_var,0.0022825411386650516
Fairface,Fairface,race,ACC_var,0.0005816854668391787
Fairface,Fairface,race,TPR_var,0.012643911828394251
Fairface,Fairface,race,TNR_var,0.00036728171880067264
Fairface,Fairface,race,FPR_var,0.00036728171880067177
Fairface,Fairface,race,FNR_var,0.012643911828394255
Fairface,Fairface,race,NPP_var,0.00040854039356049093
Fairface,Fairface,race,PP_var,0.010888661106992362
Fairface,Fairface,race,PPP_var,0.0006705438866431878
Fairface,UTKFace,age,ACC_var,0.004362231271997915
Fairface,UTKFace,age,TPR_var,0.033584706978524274
Fairface,UTKFace,age,TNR_var,0.0030142367967513715
Fairface,UTKFace,age,FPR_var,0.0030142367967513693
Fairface,UTKFace,age,FNR_var,0.033584706978524274
Fairface,UTKFace,age,NPP_var,0.0016862420326900272
Fairface,UTKFace,age,PP_var,0.03520328171482754
Fairface,UTKFace,age,PPP_var,0.009388103261678708
Fairface,UTKFace,gender,ACC_var,0.0
Fairface,UTKFace,gender,TPR_var,0.0001838461431207984
Fairface,UTKFace,gender,TNR_var,0.0001838461431207984
Fairface,UTKFace,gender,FPR_var,0.00018384614312079943
Fairface,UTKFace,gender,FNR_var,0.00018384614312079943
Fairface,UTKFace,gender,NPP_var,0.000007510467426562711
Fairface,UTKFace,gender,PP_var,0.000007510467426562711
Fairface,UTKFace,gender,PPP_var,0.0007128381562824011
Fairface,UTKFace,race,ACC_var,0.003795170061614995
Fairface,UTKFace,race,TPR_var,0.030437942124584515
Fairface,UTKFace,race,TNR_var,0.0046416944165379925
Fairface,UTKFace,race,FPR_var,0.004641694416537988
Fairface,UTKFace,race,FNR_var,0.030437942124584512
Fairface,UTKFace,race,NPP_var,0.0018867087532612673
Fairface,UTKFace,race,PP_var,0.07859301931764827
Fairface,UTKFace,race,PPP_var,0.009672640288088088
AGRnew,Fairface,age,ACC_var,0.021437879956517095
AGRnew,Fairface,age,TPR_var,0.03678919407019613
AGRnew,Fairface,age,TNR_var,0.029838195135778574
AGRnew,Fairface,age,FPR_var,0.029838195135778567
AGRnew,Fairface,age,FNR_var,0.03678919407019613
AGRnew,Fairface,age,NPP_var,0.005913931579213006
AGRnew,Fairface,age,PP_var,0.013307535907076541
AGRnew,Fairface,age,PPP_var,0.034043298084137745
AGRnew,Fairface,gender,ACC_var,0.0
AGRnew,Fairface,gender,TPR_var,0.012102871920636266
AGRnew,Fairface,gender,TNR_var,0.012102871920636266
AGRnew,Fairface,gender,FPR_var,0.012102871920636273
AGRnew,Fairface,gender,FNR_var,0.012102871920636273
AGRnew,Fairface,gender,NPP_var,0.0005655009081679747
AGRnew,Fairface,gender,PP_var,0.0005655009081679747
AGRnew,Fairface,gender,PPP_var,0.01397225260483812
AGRnew,Fairface,race,ACC_var,0.003005192034718507
AGRnew,Fairface,race,TPR_var,0.05767072468235272
AGRnew,Fairface,race,TNR_var,0.01435769069725756
AGRnew,Fairface,race,FPR_var,0.014357690697257569
AGRnew,Fairface,race,FNR_var,0.05767072468235272
AGRnew,Fairface,race,NPP_var,0.006475818169490509
AGRnew,Fairface,race,PP_var,0.015313485532939337
AGRnew,Fairface,race,PPP_var,0.016738178146772007
AGRnewft1,Fairface,age,ACC_var,0.01519528273491056
AGRnewft1,Fairface,age,TPR_var,0.02793981005960689
AGRnewft1,Fairface,age,TNR_var,0.01125047576799659
AGRnewft1,Fairface,age,FPR_var,0.01125047576799659
AGRnewft1,Fairface,age,FNR_var,0.027939810059606898
AGRnewft1,Fairface,age,NPP_var,0.005526230469746318
AGRnewft1,Fairface,age,PP_var,0.06477579420899165
AGRnewft1,Fairface,age,PPP_var,0.014988874450654329
AGRnewft1,Fairface,gender,ACC_var,0.0
AGRnewft1,Fairface,gender,TPR_var,0.06499227269289322
AGRnewft1,Fairface,gender,TNR_var,0.06499227269289322
AGRnewft1,Fairface,gender,FPR_var,0.0649922726928932
AGRnewft1,Fairface,gender,FNR_var,0.0649922726928932
AGRnewft1,Fairface,gender,NPP_var,0.01429161120208923
AGRnewft1,Fairface,gender,PP_var,0.01429161120208923
AGRnewft1,Fairface,gender,PPP_var,0.06948044369777094
AGRnewft1,Fairface,race,ACC_var,0.005551609585044333
AGRnewft1,Fairface,race,TPR_var,0.0220586334766298
AGRnewft1,Fairface,race,TNR_var,0.006759768371838072
AGRnewft1,Fairface,race,FPR_var,0.006759768371838072
AGRnewft1,Fairface,race,FNR_var,0.022058633476629792
AGRnewft1,Fairface,race,NPP_var,0.0016385654370801033
AGRnewft1,Fairface,race,PP_var,0.015314330225428932
AGRnewft1,Fairface,race,PPP_var,0.012115285969021495
AGRnewft2,Fairface,age,ACC_var,0.01369555258481089
AGRnewft2,Fairface,age,TPR_var,0.020945485624122923
AGRnewft2,Fairface,age,TNR_var,0.007550908242903625
AGRnewft2,Fairface,age,FPR_var,0.007550908242903626
AGRnewft2,Fairface,age,FNR_var,0.02094548562412293
AGRnewft2,Fairface,age,NPP_var,0.006117194235694322
AGRnewft2,Fairface,age,PP_var,0.03571742783004148
AGRnewft2,Fairface,age,PPP_var,0.010047138205535523
AGRnewft2,Fairface,gender,ACC_var,0.0
AGRnewft2,Fairface,gender,TPR_var,0.03698603011564768
