model,dataset,label,ACC_var,TPR_var,TNR_var,FPR_var,FNR_var,NPP_var,PP_var,PPP_var
Lightface,UTKFace,age,0.021136973840203035,0.0508655926754719,0.027259760452685827,0.027259760452685824,0.05086559267547191,0.004175748561213601,nan,0.03212176790810359
Lightface,UTKFace,gender,0.0,0.0276997420242506,0.0276997420242506,0.027699742024250597,0.027699742024250597,0.008578397171413552,0.008578397171413552,0.02975822071046521
Lightface,UTKFace,race,0.0024944764087985343,0.037439581704457325,0.006119857535634754,0.00611985753563476,0.037439581704457325,0.002474571319486214,0.07674529299134088,0.016516735509745244
FAR,FaceARG,age,0.040397963064154066,0.13701579198243907,0.13381535792903673,0.1338153579290368,0.13701579198243904,0.021226865135389315,0.03440550622389145,0.13528369232927695
FAR,FaceARG,gender,0.0,0.17907562462166443,0.17907562462166443,0.1790756246216645,0.1790756246216645,0.046830198842591916,0.046830198842591916,0.17201080033819705
FAR,FaceARG,race,0.04044732885234523,0.16047312617594295,0.16011950328809912,0.16011950328809912,0.16047312617594295,0.0008689113776641192,0.048120079898708895,0.1602529947608991
FAR,Fairface,age,0.028009523163355966,0.07844349809919374,0.07444926175465863,0.07444926175465862,0.07844349809919371,0.005389014868964004,0.005077718252980671,0.07574852931009281
FAR,Fairface,gender,0.0,0.10169172102996366,0.10169172102996366,0.10169172102996368,0.10169172102996368,0.000003.41057434277385,0.00000341057434277385,0.10301239419759385
FAR,Fairface,race,0.03348329466699235,0.07039549725502849,0.071306741924123,0.071306741924123,0.07039549725502849,0.0029453296937682165,0.09478601055048201,0.07119479539787188
FAR,UTKFace,age,0.03842299301064732,0.10742917823588846,0.12005522583440634,0.12005522583440634,0.10742917823588849,0.009296661910566235,0.007317891895888244,0.11618049762200262
FAR,UTKFace,gender,0.0,0.16737743565918822,0.16737743565918822,0.16737743565918822,0.16737743565918822,0.00426242862970913,0.00426242862970913,0.16814338904285991
FAR,UTKFace,race,0.023584289353601517,0.12076638090589628,0.10562581160118925,0.10562581160118927,0.12076638090589628,0.004671714271797127,0.023879714827129663,0.11257283452933069
Fairface,FaceARG,age,0.008973782253134482,0.04823929605798037,0.009739074747212594,0.009739074747212596,0.04823929605798036,0.006280745775534089,0.029685562925362632,0.029998356850406003
Fairface,FaceARG,gender,0.0,0.0000039598079173142654,0.000003.9598079173142654,0.000003959807917314298,0.000003959807917314298,0.00000015189822670547909,0.00000015189822670547909,0.00751813029407319
Fairface,FaceARG,race,0.0006899596780802835,0.0027742843516461524,0.0011622074679987716,0.0011622074679987708,0.002774284351646151,0.00015716638165386173,0.006611075765006238,0.002087180670975684
Fairface,Fairface,age,0.004900689976055448,0.02749288670126117,0.0029487947677527084,0.002948794767752708,0.02749288670126117,0.0021032010864400516,0.013900188113363274,0.010831846536946382
Fairface,Fairface,gender,0.0,0.0008410189275512886,0.0008410189275512886,0.0008410189275512897,0.0008410189275512897,0.0003379490341208556,0.0003379490341208556,0.0022825411386650516
Fairface,Fairface,race,0.0005816854668391787,0.012643911828394251,0.00036728171880067264,0.00036728171880067177,0.012643911828394255,0.00040854039356049093,0.010888661106992362,0.0006705438866431878
Fairface,UTKFace,age,0.004362231271997915,0.033584706978524274,0.0030142367967513715,0.0030142367967513693,0.033584706978524274,0.0016862420326900272,0.03520328171482754,0.009388103261678708
Fairface,UTKFace,gender,0.0,0.0001838461431207984,0.0001838461431207984,0.00018384614312079943,0.00018384614312079943,0.000007510467426562711,0.000007510467426562711,0.0007128381562824011
Fairface,UTKFace,race,0.003795170061614995,0.030437942124584515,0.0046416944165379925,0.004641694416537988,0.030437942124584512,0.0018867087532612673,0.07859301931764827,0.009672640288088088
